Obs,STU_ID,STRAT_ID,F1MATHSE,F1TXMBIR,F1TXM1IR,F2PS0601,F3TZCMTHGPA,F1A07B,F1A07E,F1S16A,F1S16B,F1S16C,F1S16D,F1S16E,F1S16F,F1S16G,F1S16H,F1S16I,F1S17A,F1S17B,F1S17C,F1S17D,F1S17E,F1S17F,F1S17G,F1S17H,F1S17I,F1S17J,F1S40N,F2B17A,F2B17B,F1SES1,F1RACE,F1SEX,F1MOTHED,F1FATHED,outcome,F2F1WT,F3F1PNLPSWT,Factor1,Factor2
25,102203,102,-0.504,27.5,28.58,,2.75,6,6,3,1,3,1,3,3,1,1,2,3,1,3,3,3,1,1,1,1,2,3,,,-0.65,2,2,2,2,1,30.249,48.734,-0.01415,0.05317
26,102204,102,1.811,64.11,70.3,,.,6,6,3,1,3,1,1,4,1,2,1,1,1,1,3,3,2,2,3,1,1,3,,,0.53,2,2,2,8,1,0,35.94,0.06807,-0.03403
27,102208,102,.,48.96,66.17,1,2.25,6,6,1,1,3,1,3,4,1,1,1,1,1,1,3,3,1,1,3,1,3,3,3,2,0.6,2,1,5,6,1,30.16,80.945,0.03847,-0.0538
28,102213,102,1.035,46.7,45.43,2,2.5,6,6,3,1,3,1,1,3,1,1,1,1,1,3,3,3,1,1,1,1,1,3,2,3,0.43,5,1,6,6,1,223.433,182.241,-0.00491,0.00993
29,102216,102,-0.755,45.13,53.02,2,3,6,6,1,1,3,2,3,3,1,1,2,1,1,1,3,4,1,1,1,1,1,3,2,2,0.23,2,2,2,4,1,27.936,27.778,0.018,-0.0242
30,102223,102,-1.018,41.41,57.24,1,.,6,6,3,1,3,1,3,0,1,1,1,4,1,3,3,3,1,2,1,1,3,3,3,2,1.06,2,2,6,6,1,217.473,173.583,-0.05419,0.07292
31,102233,102,-0.755,35.24,33.62,,2,6,6,3,1,3,1,3,1,1,3,1,1,1,3,3,3,1,1,1,1,3,3,,,-0.92,2,2,2,1,0,0,31.912,-0.01853,0.01735
32,102234,102,0.528,26.45,37.21,0,3.25,6,6,1,3,3,1,1,3,1,1,3,1,1,3,3,3,3,1,1,1,1,3,3,2,-0.66,5,2,4,2,0,184.282,227.866,0.0194,-0.00647
33,102261,102,.,.,52.33,2,3.5,6,6,3,1,3,1,1,3,1,3,1,4,1,3,3,3,1,1,1,1,1,3,3,2,0.03,2,1,6,6,0,53.668,51.052,0.00437,0.05438
34,103104,103,1.019,50.36,53.77,1,.,6,6,3,1,3,1,3,3,1,1,2,1,1,3,3,3,2,1,1,1,2,3,2,3,0.05,7,2,6,1,0,651.4,467.124,0.00205,0.0223
35,103109,103,-0.755,40.28,63.71,1,4,6,6,3,1,3,1,1,3,1,3,1,1,1,3,3,3,2,1,1,1,2,3,3,3,0.58,7,2,6,2,0,591.123,884.309,0.0243,0.00652
36,103110,103,-0.013,61.71,63.59,1,3.5,6,6,3,1,3,1,1,3,1,1,3,1,1,1,3,3,1,1,1,1,4,3,3,2,0.19,7,2,3,2,0,637.516,0,-0.0029,-0.01563
37,103116,103,-1.018,45.47,40.34,1,2.25,6,6,3,1,3,1,1,3,1,1,1,1,1,4,3,1,1,1,1,1,1,3,3,2,0.13,3,2,3,6,1,457.229,545.362,-0.04593,0.02145
38,103122,103,0.003,34.09,42.36,1,2.25,6,6,3,1,3,1,1,3,1,1,1,1,3,3,3,1,1,1,1,1,3,3,2,2,0.29,7,2,6,6,0,704.932,790.656,-0.05615,0.04013
39,103127,103,0.03,58.52,69.32,1,1.75,6,6,3,1,3,1,2,3,1,1,3,1,1,1,3,3,1,2,0,1,0,3,3,2,0.83,7,1,3,7,1,591.538,823.354,-0.00348,-0.00929
40,103203,103,-0.259,33.22,32.02,2,2,7,6,3,1,3,1,1,1,1,3,3,1,1,3,3,3,1,3,1,1,1,2,2,3,-1.27,5,2,1,1,0,151.887,249.939,0.00756,-0.00029
41,103205,103,-0.013,49.24,58.47,1,2.75,7,6,1,1,3,1,1,4,1,3,3,1,1,3,3,3,1,3,1,1,1,3,3,2,-0.02,5,2,5,5,0,164.664,186.607,0.05934,-0.04062
42,103210,103,-0.259,28.75,28.13,1,.,7,6,3,1,3,1,1,1,1,3,3,1,1,3,3,3,1,1,1,1,3,3,2,2,-0.08,2,2,2,4,1,39.857,35.222,-0.01675,0.00806
43,103212,103,-0.755,18.17,29.04,0,.,7,6,3,1,3,1,1,2,1,1,3,3,3,3,2,1,1,1,1,1,1,3,2,2,-1.25,2,2,1,2,0,40.801,53.41,-0.09402,0.0669
44,103223,103,-1.264,25.19,32.41,,3.75,7,6,3,1,3,1,1,3,1,1,1,1,3,3,3,1,1,3,1,1,1,2,,,0,5,1,5,4,1,170.665,154.507,-0.03184,0.03178
45,103226,103,0.281,31.4,39.08,1,3.25,7,6,3,1,3,1,1,3,1,1,0,3,1,3,3,3,1,3,1,1,0,3,2,1,-1.35,5,2,1,1,0,139.186,183.84,0.01195,0.03554
46,103308,103,0.746,58.76,64.68,1,.,6,6,1,1,3,1,1,2,2,3,1,1,1,2,2,2,1,2,4,1,1,3,2,2,0.54,6,2,6,7,0,582.73,896.562,0.01969,-0.06095
47,103309,103,-0.755,47.17,51.15,1,3.75,6,6,4,2,1,1,1,4,1,1,1,4,1,3,3,3,1,1,2,2,1,3,3,2,-0.56,2,2,1,1,0,57.651,55.767,-0.01181,0.08345
48,103314,103,0.265,50.74,60.76,2,4,6,6,1,2,4,1,1,4,1,2,1,1,1,3,2,2,1,1,3,1,1,3,2,2,-1.42,2,2,1,1,1,57.801,95.093,0.02886,-0.04549
49,103317,103,1.811,69.79,75.57,1,4,6,6,1,1,4,1,1,4,1,3,1,1,1,3,3,3,1,3,4,1,1,3,3,3,-0.98,2,1,2,1,1,68.369,55.936,0.10775,-0.05824
50,103318,103,0.773,48.07,50.38,2,2.25,6,6,3,1,4,1,2,3,1,2,2,1,1,3,2,2,1,1,1,1,1,3,3,3,1.19,7,2,7,7,0,595.268,783.411,-0.01695,0.00119
51,103319,103,-0.51,28.82,47,2,1.5,6,6,1,1,3,1,1,3,1,3,1,1,1,3,2,2,1,1,1,1,1,3,2,2,-1.19,2,1,1,4,0,62.363,76.541,-0.01539,-0.04008
52,103322,103,-0.755,40.33,41.36,2,1,6,6,1,3,3,1,1,1,1,1,1,0,0,4,0,1,0,0,0,0,0,3,2,2,-0.4,2,2,1,2,1,59.393,94.195,-0.13949,-0.05939
53,103323,103,0.528,44.89,48.82,0,2.5,6,6,1,1,3,1,1,2,1,2,1,1,1,3,2,2,1,1,1,1,1,3,2,3,-1.01,7,1,1,1,1,647.445,606.365,-0.04178,-0.03452
54,104101,104,-1.28,49.82,61.81,1,4,6,6,1,1,3,1,2,3,1,3,1,1,1,3,3,3,1,3,1,1,1,3,2,2,0.85,7,2,5,6,0,307.712,351.019,0.04229,-0.03366
55,104102,104,.,42.73,46.71,1,1,6,6,1,1,3,1,1,3,1,3,2,1,1,3,3,3,1,1,1,1,1,3,3,2,-0.23,3,2,2,6,0,504.259,404.988,0.01887,-0.02995
56,104104,104,.,50.08,56.77,1,3.25,.,6,1,1,3,1,3,3,1,3,1,1,1,3,3,3,1,1,1,1,1,3,1,1,1.79,7,2,8,8,1,299.501,327.004,0.01709,-0.02067
57,104105,104,0.779,52.81,59.87,0,.,6,6,1,3,3,1,3,3,1,3,1,1,1,3,3,3,1,3,1,1,1,3,2,2,0.23,2,1,6,6,0,98.096,0,0.04492,-0.0182
58,104107,104,-1.793,53.28,56.62,1,3,6,6,1,1,3,1,2,3,1,3,1,1,1,3,3,3,1,1,1,1,2,2,2,2,0.51,7,1,3,5,1,354.804,233.882,0.01798,-0.02531
59,104108,104,-0.215,47.46,58.85,1,2.5,6,6,1,1,3,1,1,3,1,3,3,1,1,3,3,3,1,3,1,1,1,3,2,3,0.86,7,2,7,5,1,323.51,258.306,0.04318,-0.0383
60,104110,104,-2.039,53.91,52.83,2,0.5,6,6,1,1,3,1,1,3,1,4,1,1,1,3,3,3,1,1,1,1,1,2,3,3,0.69,7,1,6,6,0,321.972,336.351,0.0291,-0.0332
61,104111,104,0.265,57.9,66.33,1,3,6,6,1,1,4,1,2,3,1,3,1,1,3,3,3,3,1,3,1,1,1,3,2,2,0.36,6,1,6,7,0,613.82,490.265,0.04394,-0.00221
62,104112,104,1.286,54.97,58.38,1,4,6,6,1,1,3,1,1,3,1,3,3,1,1,3,3,3,1,3,1,1,1,3,3,3,1.38,7,1,7,7,1,333.873,385.467,0.04318,-0.0383
63,104113,104,.,55.67,59.05,1,.,6,6,1,1,3,1,1,3,1,3,1,1,1,3,3,3,3,1,1,1,1,3,2,,1.62,3,1,8,8,0,486.962,515.691,0.03634,-0.02378
64,104115,104,.,38.89,44.92,1,.,6,6,0,1,3,1,2,3,1,0,2,3,1,3,3,3,2,1,1,1,0,3,2,2,0.36,3,1,5,3,1,548.662,444.988,-0.0098,0.00478
65,104116,104,0.528,32.55,39.44,2,2,6,6,0,3,0,1,0,0,0,0,2,0,0,0,0,3,0,1,0,0,2,3,3,2,-0.12,3,1,4,2,0,449.427,430.006,-0.14833,-0.14058
66,104117,104,0.003,65.92,67.6,1,.,6,6,1,1,4,1,1,3,1,3,1,1,1,1,3,3,1,3,3,1,3,3,2,3,1.17,2,2,4,8,1,81.862,68.116,0.08175,-0.07561
67,104123,104,0.773,28.03,41.8,1,2,6,6,1,1,3,1,1,3,1,3,2,1,1,3,3,3,3,1,1,1,1,3,3,3,0.89,3,2,5,7,0,445.392,531.489,0.03634,-0.02378
68,104124,104,.,63.08,63.65,1,4,6,6,1,1,4,1,1,3,1,3,1,1,1,3,3,3,1,3,1,1,1,3,2,3,1.14,3,2,7,7,1,434.895,423.275,0.05606,-0.03831
69,104202,104,1.313,51.65,65.69,0,2.25,6,6,4,4,3,1,1,3,4,3,1,1,1,3,3,3,1,3,1,1,4,3,3,3,0.7,7,1,3,6,1,442.053,724.167,0.05115,0.06219
70,104204,104,.,61.6,67.86,1,4,6,6,1,3,3,1,1,3,1,3,1,1,1,3,3,3,1,3,3,1,1,3,3,3,1.06,7,2,6,6,1,400.758,413.824,0.07039,-0.03923
71,104205,104,-1.045,37.72,55.93,1,1,6,6,1,3,3,1,1,3,1,1,1,1,1,3,3,3,3,1,1,1,1,3,2,2,-0.77,7,1,3,2,0,432.917,515.243,0.0194,-0.00647
72,104206,104,-1.51,49.4,57.96,,1.25,6,6,3,3,3,1,1,3,1,1,1,1,1,3,3,3,3,1,1,1,1,2,,,0.9,7,1,5,7,0,0,402.14,0.01609,0.02692
73,104208,104,1.27,60.69,62.82,1,.,6,6,1,1,3,1,1,3,1,3,1,1,1,1,3,3,3,1,1,3,3,3,3,2,0.83,7,1,6,6,0,432.715,618.386,0.04222,-0.03204
74,104209,104,1.564,54.65,73.93,1,4,6,6,1,1,3,1,1,3,1,3,3,1,1,1,3,3,1,3,3,1,1,3,3,2,0.83,7,2,2,7,1,393.139,0,0.06888,-0.07561
75,104212,104,-0.259,31.73,39.79,0,.,6,6,3,3,3,1,1,3,1,1,1,1,3,3,3,3,1,1,1,1,1,3,3,3,-0.84,7,2,2,1,0,401.078,503.017,-0.01261,0.05221
76,104214,104,.,59.43,59.68,2,4,6,6,3,1,1,3,1,3,1,1,3,3,3,3,3,1,3,3,1,1,1,3,3,3,0.04,2,2,2,2,1,113.976,113.189,-0.04886,0.10173
77,104216,104,0.495,43.27,58.39,1,3.25,6,6,1,3,3,1,1,3,1,3,1,1,1,3,3,3,1,3,1,1,1,3,3,2,1.06,7,1,6,6,1,429.325,356.501,0.0467,-0.02749
78,104217,104,.,57.25,.,1,4,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,0.51,7,2,2,6,0,0,0,-0.22516,-0.16943
79,104220,104,-0.509,50.45,59.02,1,2,6,6,1,3,3,1,1,3,1,1,1,1,1,3,3,3,1,1,1,1,1,3,2,2,0.63,7,2,6,6,0,388.985,483.506,0.00192,-0.01264
80,104222,104,0.528,58.45,66.04,2,3,6,6,3,3,3,1,1,3,1,2,1,1,1,3,3,3,1,3,3,1,3,3,3,3,1.06,2,1,6,6,1,119.892,104.055,0.05685,-0.0026
81,104223,104,0.761,69.57,78.29,1,.,6,6,1,1,3,1,1,3,1,4,1,1,1,1,3,3,1,3,3,1,1,2,3,3,1.64,7,1,8,7,0,419.296,408.032,0.07911,-0.07886
82,104228,104,.,38.46,.,1,3,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,0.68,7,2,5,6,0,0,0,-0.22516,-0.16943
83,104231,104,1.533,53.2,63.18,0,.,6,6,3,1,3,1,1,3,1,3,1,1,1,3,3,3,1,3,3,1,1,3,3,2,-0.52,7,2,3,2,1,445.571,406.489,0.06356,-0.01666
84,105102,105,0.254,64.49,67.42,2,4,6,6,1,3,3,1,1,3,1,3,1,1,1,1,3,3,3,1,3,1,1,3,2,2,0.27,7,2,2,5,0,130.174,146.489,0.06556,-0.05027
85,105107,105,0.528,63.22,69.57,1,2.75,6,6,1,3,3,1,1,3,1,3,1,1,1,1,3,3,3,1,1,1,3,3,3,3,0.73,7,1,2,7,0,122.649,126.731,0.04187,-0.03852
86,105112,105,0.248,59.74,61.68,1,4,6,6,1,1,3,1,1,4,1,1,3,1,1,1,3,3,1,1,1,1,3,3,3,3,1.12,7,1,7,6,0,133.674,177.645,0.01656,-0.05133
87,105115,105,0.528,40.51,57.3,1,3.75,6,6,1,3,4,1,1,3,1,3,3,1,1,3,3,3,1,1,1,1,3,3,3,3,-0.25,7,2,2,2,1,129.48,235.611,0.03527,-0.01914
88,105116,105,-0.259,33.31,43.44,1,.,6,6,1,3,3,1,1,3,1,1,3,1,3,3,3,3,1,1,1,1,1,3,2,2,0.54,7,1,4,4,0,130.801,429.524,-0.00931,0.01882
89,105123,105,-0.259,40.97,56.87,1,3,6,6,3,3,3,1,1,1,1,1,3,1,3,3,3,2,1,1,1,1,1,3,3,3,0.33,7,1,3,6,0,139.689,192.776,-0.06494,0.0562
90,105127,105,.,33.78,34.84,,3.25,.,6,3,3,3,1,1,1,2,1,1,3,3,3,1,1,1,1,1,3,1,3,,,-0.68,7,2,2,5,0,132.81,206.431,-0.11449,0.09923
91,105128,105,1.811,50.48,48.45,1,4,6,6,1,3,4,1,1,3,1,1,1,1,1,3,3,3,1,1,1,1,3,3,3,2,0.56,7,2,6,2,1,122.202,276.679,0.0148,-0.01264
92,105129,105,-0.51,68.87,73.34,1,4,6,6,1,3,4,1,1,3,1,1,1,1,1,1,3,3,3,1,3,1,1,3,3,3,0.41,7,2,6,2,0,125.203,118.154,0.05797,-0.04378
93,105130,105,.,44.51,53.2,2,3.5,6,6,1,3,4,1,1,3,1,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,-0.43,7,2,2,2,0,140.19,184.603,0.03227,-0.00647
94,105202,105,0.528,40.51,26.42,1,2,6,6,1,3,3,1,1,4,3,1,1,1,1,1,3,3,2,2,1,1,3,3,2,2,-0.44,7,2,2,2,0,232.783,291.073,0.04608,-0.01881
95,105205,105,-0.51,44,54.56,2,.,6,6,1,1,3,1,1,4,1,1,3,1,1,1,3,3,3,1,3,1,1,3,3,3,-0.85,7,2,2,2,1,229.396,253.131,0.05772,-0.05691
96,105208,105,.,54.17,56.48,1,2,6,6,1,1,4,1,1,4,1,1,1,1,1,1,3,3,2,2,3,1,1,3,3,3,0.45,7,2,6,4,0,644.006,198.369,0.07402,-0.06417
97,105211,105,1.811,52.46,64.71,1,.,6,6,1,1,4,1,1,4,1,1,1,1,1,1,3,3,3,2,3,1,1,3,3,3,1.06,7,2,7,6,1,216.858,321.86,0.08276,-0.06109
98,105213,105,-1.51,28.8,27.17,1,.,6,6,1,3,3,3,3,4,1,1,3,1,3,3,3,3,1,1,1,1,3,3,2,2,-0.45,5,2,6,4,0,59.333,59.289,0.00379,0.05559
99,105217,105,0.73,34.37,38.41,1,2,6,6,1,1,4,1,3,4,1,1,1,1,1,1,3,3,3,1,1,1,3,3,2,3,0.39,7,2,4,2,0,226.599,252.06,0.04513,-0.03588
100,105218,105,-0.51,27.13,33.94,2,4,6,6,1,3,3,1,1,1,1,1,3,1,1,4,3,3,1,1,1,1,1,2,3,1,-1.14,7,2,2,2,0,259.69,409.741,-0.0314,0.00477
101,105226,105,0.779,59.08,67.18,1,4,6,6,1,1,3,1,1,4,1,3,1,1,1,1,3,3,2,2,3,1,1,2,3,3,-0.69,7,1,2,2,1,239.737,276.767,0.08161,-0.07066
102,105227,105,0.516,55.4,71.38,1,1,6,6,1,1,4,1,1,4,1,3,1,1,1,1,3,3,3,1,3,1,1,3,2,2,0.69,7,2,7,6,1,215.288,269.081,0.09107,-0.06341
103,106101,106,0.281,56.21,66.43,1,.,6,6,1,1,3,1,1,3,2,3,1,1,1,1,3,3,2,1,3,3,3,3,3,2,1.12,7,2,6,7,0,375.407,493.434,0.05972,-0.03548
104,106102,106,0.265,46.78,57.46,1,.,6,6,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,1,1,3,2,2,0.73,7,2,6,7,1,405.293,431.552,0.03913,0.11658
105,106104,106,-0.259,55.53,62.28,1,4,6,6,1,1,4,1,1,3,1,3,1,1,1,1,3,3,2,2,1,1,1,3,2,3,0.62,7,2,6,4,1,400.124,437.029,0.05465,-0.0566
106,106108,106,1.811,67.53,72.94,1,.,6,6,1,1,3,1,1,3,1,3,1,0,0,0,3,3,2,2,1,3,2,3,1,1,-0.23,7,2,2,2,0,452.544,438.253,0.05599,-0.08479
107,106111,106,1.068,62.62,68.38,1,3,6,6,1,1,3,1,1,4,1,3,1,1,1,1,3,3,2,2,3,1,1,3,3,2,1.43,5,1,7,8,1,431.559,408.873,0.08161,-0.07066
108,106114,106,0.265,62.76,59.54,2,3.75,6,6,1,1,3,1,1,3,1,3,3,1,1,1,3,3,2,1,1,3,1,3,2,2,0.34,7,2,2,6,1,412.188,457.225,0.03349,-0.03513
109,106115,106,-0.51,46.18,50.41,1,.,6,6,4,3,2,1,2,3,1,1,1,4,3,3,3,3,1,1,1,3,1,3,3,3,0.72,7,1,6,4,0,425.242,876.073,-0.03535,0.14179
110,106117,106,.,53.46,61.57,1,3,6,6,1,1,3,1,1,4,1,3,1,1,1,3,3,3,2,1,1,1,2,3,2,3,0.36,7,1,6,2,1,708.576,375.208,0.04376,-0.02918
111,106119,106,1.297,49.27,48.55,1,.,6,6,3,1,3,1,3,3,1,3,1,1,1,3,3,3,1,1,1,1,3,3,2,2,-0.27,7,2,2,3,0,406.053,0,0.01378,0.01272
112,106125,106,0.777,52,51.23,1,.,6,6,1,1,4,2,3,3,0,3,1,1,1,1,3,3,2,2,3,1,1,3,3,3,0.23,7,2,5,6,1,400.358,787.983,0.07337,-0.05556
113,106126,106,0.73,41.78,70.73,1,.,6,6,1,1,3,1,1,3,1,3,1,1,1,1,3,3,2,2,3,1,1,3,3,3,-0.1,7,2,2,6,0,404.544,874.068,0.06546,-0.06835
114,106127,106,1.811,58.4,63.51,1,2.75,6,6,1,1,3,1,1,3,1,3,1,1,1,3,3,3,2,2,1,3,1,3,3,2,0.34,7,2,3,3,0,395.529,576.156,0.04364,-0.01374
115,106129,106,.,63.38,69.76,0,.,6,6,3,1,1,4,1,3,1,1,1,1,3,3,3,3,1,3,1,1,1,3,2,2,0.2,7,2,6,2,1,418.423,517.518,-0.01949,0.07776
116,106202,106,1.564,62.97,74.93,1,.,7,7,1,3,3,1,1,3,1,3,1,1,1,1,3,3,3,1,3,1,1,3,3,2,-0.37,7,1,2,2,1,236.381,335.759,0.06556,-0.05027
117,106204,106,0.779,39.78,45.25,1,2.75,7,7,1,4,3,0,0,3,0,3,0,1,1,3,3,3,3,1,1,1,1,3,2,2,-0.27,7,1,3,4,1,227.177,309.623,0.04061,-0.03849
118,106206,106,0.528,53.21,58.8,1,3,7,7,1,3,3,1,3,3,1,3,3,1,3,3,3,3,2,1,3,1,2,3,3,2,-0.73,7,2,2,2,0,208.514,198.646,0.0418,0.01294
119,106207,106,1.297,54.6,45.34,1,.,7,7,4,1,3,1,3,1,1,1,1,1,1,3,3,3,1,1,1,3,1,3,2,2,-0.38,7,1,2,2,0,251.329,352.344,-0.03678,0.05783
120,106210,106,0.026,50.84,56.78,,2,7,7,3,3,3,1,3,1,1,1,1,1,1,1,3,3,3,1,1,3,1,3,,,-0.61,7,1,4,2,0,0,294.399,-0.01212,0.03257
121,106211,106,0.762,50.55,48.36,1,.,7,7,1,3,3,1,3,3,1,1,1,1,3,3,3,3,3,1,1,1,1,3,2,2,-0.59,7,2,2,2,0,217.67,250.851,0.00639,0.03427
122,106213,106,0.005,55.67,69.39,1,.,7,7,1,3,4,1,1,3,1,3,3,1,1,3,3,3,2,1,3,1,3,3,3,3,-0.95,7,2,2,2,1,210.792,278.159,0.06769,-0.0278
123,107101,107,1.27,59.79,71.27,1,4,6,6,1,1,3,1,1,3,1,4,1,1,1,1,3,3,2,3,3,1,2,3,3,3,-0.54,7,2,2,5,0,160.437,161.962,0.08785,-0.07577
124,107102,107,0.238,64.23,70.17,1,.,6,6,1,3,3,1,1,3,3,3,1,1,1,1,3,3,1,3,3,1,1,3,3,2,0.38,7,1,2,7,1,173.696,241.679,0.0775,-0.042
125,107104,107,0.773,23.47,32.05,2,2,6,6,4,4,3,1,3,1,1,1,3,4,3,3,1,1,1,1,1,4,1,3,3,2,-0.51,7,2,2,2,0,166.647,261.485,-0.1205,0.14484
126,107107,107,0.25,58.32,59.91,2,3,6,6,1,3,3,1,2,3,2,1,4,1,3,3,3,3,0,0,0,0,0,2,2,2,1.14,7,1,7,6,0,163.306,0,-0.04232,0.03317
127,107109,107,-0.259,40.5,48.7,1,4,6,6,1,3,3,1,3,3,0,3,1,1,1,3,3,3,1,1,1,3,1,3,3,1,-0.58,7,1,2,2,0,173.092,193.487,0.02193,-0.00395
128,107114,107,0.992,15.93,24.76,0,.,6,6,3,1,3,1,3,1,1,1,1,4,3,1,1,1,1,1,1,1,1,3,2,3,-0.86,7,2,2,2,0,161.296,435.9,-0.12793,0.06042
129,107115,107,-0.755,41.01,48.42,2,3,6,6,3,3,3,1,3,3,1,1,3,1,1,1,3,3,1,3,1,2,1,3,2,2,-0.51,7,1,2,2,1,172.457,235.117,0.02509,0.00477
